banco,rango_orden,rango_monto,primer_mes,ultimo_mes,meses_observados,observaciones_modelables,creditos_total,creditos_mediana,tasa_minima,tasa_maxima,tasa_std,meses_esperados,cobertura_meses,apta_modelo
Lulo Bank,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-02,30,28,36859,1223.5,21.079168241965974,31.033125000000002,3.222828623133903,30,1.0,True
Lulo Bank,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-02,30,28,33877,1165.0,20.553472920156334,30.92502232142857,3.46413674729222,30,1.0,True
Banco Davibank,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-02,30,28,31730,671.5,21.614031620553362,41.72940298507463,6.001970746902967,30,1.0,True
Banco Davibank,1,Menor o igual a 3 SMLMV,2023-09,2026-02,30,28,24704,93.5,22.656229508196724,42.03229271356784,5.726346313628406,30,1.0,True
Banco AV Villas,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-02,30,28,20767,533.0,17.22689969604863,25.036953125,2.3448559765521932,30,1.0,True
Banco Mundo Mujer,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-02,30,28,20504,673.0,24.318270980788675,41.763231707317075,5.1469316590271275,30,1.0,True
Itaú,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-02,30,28,20091,668.5,17.405850785340313,25.947978723404255,2.7000959343155984,30,1.0,True
Banco Davibank,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-02,30,28,18990,266.5,22.053208661417322,41.96775339602926,5.85658382492852,30,1.0,True
Banco Caja Social,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-02,30,28,18766,564.0,21.373138686131387,28.76911330049261,2.5446133202320946,30,1.0,True
Banco AV Villas,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-02,30,28,18561,536.5,19.5568156424581,30.363939393939397,3.5548366788470176,30,1.0,True
Banco Falabella,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-02,30,28,18065,496.5,18.883902097902098,32.51481707317073,3.9884664658560314,30,1.0,True
Banco AV Villas,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-02,30,28,17793,489.0,18.370858208955227,27.514331210191084,2.903531963475144,30,1.0,True
Banco de Occidente,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-02,30,28,17335,530.5,20.5027352297593,32.131603427172585,3.9049450604513423,30,1.0,True
Bancolombia,6,Mayor a 100 SMLMV,2023-09,2026-02,30,28,15527,521.0,15.759749518304432,25.09615183246073,3.119014540641119,30,1.0,True
Lulo Bank,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-02,30,28,13912,476.0,20.02615931721195,30.668367346938776,3.409399092166283,30,1.0,True
Banco AV Villas,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-02,30,28,11722,319.5,21.021680376028204,32.973827160493826,3.9556755156782013,30,1.0,True
Bancoomeva,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-02,30,28,11492,367.5,16.582153589315524,29.395098039215686,4.216445401035483,30,1.0,True
Itaú,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-02,30,28,10103,327.5,18.482316513761468,26.91391304347826,2.759409487821598,30,1.0,True
Bancoomeva,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-02,30,28,9499,273.0,17.662540322580643,28.741135135135135,3.7578731339040536,30,1.0,True
Banco de Occidente,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-02,30,28,9440,291.0,21.196655737704916,33.51048832271762,4.282945783002055,30,1.0,True
Banco Serfinanza,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-02,30,28,9039,262.5,18.65296052631579,23.51273092369478,1.4860163508974225,30,1.0,True
Banco Caja Social,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-02,30,28,7646,243.5,18.08324427480916,26.692857142857143,2.7579708917980006,30,1.0,True
Banco de Occidente,6,Mayor a 100 SMLMV,2023-09,2026-02,30,28,7168,243.0,16.94017857142857,23.709632653061224,1.9966005164823866,30,1.0,True
Finandina,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-02,30,28,7168,238.5,20.345111940298505,30.740198675496686,2.856551295163233,30,1.0,True
Bancoomeva,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-02,30,28,7136,200.5,18.64701030927835,29.551824104234527,3.624907832128521,30,1.0,True
Banco de Bogotá,6,Mayor a 100 SMLMV,2023-09,2026-02,30,28,6240,192.5,13.57127118644068,21.126153846153844,2.131434773404978,30,1.0,True
Banco AV Villas,1,Menor o igual a 3 SMLMV,2023-09,2026-02,30,28,5933,197.5,21.49358904109589,35.23533333333333,4.284034191056883,30,1.0,True
Itaú,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-02,30,28,5758,172.0,19.101296296296294,27.769052132701425,2.958014581669517,30,1.0,True
Itaú,6,Mayor a 100 SMLMV,2023-09,2026-02,30,28,4954,166.0,16.810945945945946,25.442923076923076,2.613306522978045,30,1.0,True
Finandina,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-02,30,28,4910,165.5,21.12497267759563,34.423741007194245,3.751584530229489,30,1.0,True
Banco Agrario,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-02,30,28,3976,133.0,21.622187500000003,28.06285714285714,2.2841226902920932,30,1.0,True
Bancoomeva,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-02,30,28,3562,107.0,19.509999999999998,29.538590604026847,3.544817900883022,30,1.0,True
Lulo Bank,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-02,30,28,3433,114.0,19.25759776536313,29.403181818181817,2.945151540580939,30,1.0,True
Banco Serfinanza,1,Menor o igual a 3 SMLMV,2023-09,2026-02,30,28,3350,106.0,18.333708609271522,24.083893129770996,1.7833391035266628,30,1.0,True
Banco de Occidente,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-02,30,28,3187,83.5,20.795324675324675,34.717261904761905,4.738650283645011,30,1.0,True
Banco Serfinanza,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-02,30,28,3047,84.5,17.736238095238097,26.59659090909091,2.309715129420173,30,1.0,True
Banco Agrario,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-02,30,28,2978,96.5,21.693664122137406,35.95333333333333,4.174776330204918,30,1.0,True
Banco AV Villas,6,Mayor a 100 SMLMV,2023-09,2026-02,30,28,2452,61.0,16.525506329113924,22.928888888888892,1.8848054138843526,30,1.0,True
Banco Serfinanza,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-02,30,28,2317,64.5,15.588666666666668,25.288666666666664,2.427748981486338,30,1.0,True
Itaú,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-02,30,28,2291,60.5,19.177222222222223,28.22594594594595,3.0227761441068535,30,1.0,True
Finandina,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-02,30,28,2193,70.0,23.629059829059827,35.98016666666667,3.7594015681700452,30,1.0,True
Banco Agrario,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-02,30,28,1896,57.0,21.593684210526316,25.76526315789474,1.3074387074296243,30,1.0,True
Bancoomeva,1,Menor o igual a 3 SMLMV,2023-09,2026-02,30,28,1485,45.0,19.953928571428573,29.77885714285714,3.4622416868567494,30,1.0,True
Finandina,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-02,30,28,1422,38.5,18.82659574468085,25.87826923076923,2.0041178987152333,30,1.0,True
Banco Serfinanza,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-02,30,28,1364,23.0,13.352901785714286,22.812,3.1552328738468143,30,1.0,True
BBVA Colombia,6,Mayor a 100 SMLMV,2023-09,2026-02,30,28,1349,28.0,16.11815,25.45173913043478,1.770683065155557,30,1.0,True
Banco de Occidente,1,Menor o igual a 3 SMLMV,2023-09,2026-02,30,28,1344,36.0,19.97342857142857,35.684814814814814,5.052178039336294,30,1.0,True
Banco Mundo Mujer,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-02,30,28,1118,28.5,24.259032258064515,41.38333333333333,5.144455479656997,30,1.0,True
Banco Agrario,1,Menor o igual a 3 SMLMV,2023-09,2026-02,30,28,1037,33.5,21.731186440677966,37.28000000000001,4.42921188033798,30,1.0,True
Bancoomeva,6,Mayor a 100 SMLMV,2023-09,2026-02,30,28,701,8.0,15.618607594936707,28.689285714285713,3.874320983360949,30,1.0,True
Banco Agrario,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-02,30,28,658,18.0,21.66709090909091,30.457142857142856,2.4829855642936325,30,1.0,True
Itaú,1,Menor o igual a 3 SMLMV,2023-09,2026-02,30,28,434,10.5,18.765,29.302500000000002,3.217899834942684,30,1.0,True
Banco Unión,1,Menor o igual a 3 SMLMV,2023-09,2026-02,30,28,173,5.5,24.31,41.75,5.090789536268039,30,1.0,True
Banco Popular,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-02,29,27,580,5.0,20.905,32.626444444444445,3.691654439928064,30,0.9666666666666667,True
Banco Caja Social,6,Mayor a 100 SMLMV,2023-09,2026-02,29,27,210,6.0,13.475,22.455,2.842166455953683,30,0.9666666666666667,True
Banco Unión,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-10,2026-02,29,27,157,5.0,24.31833333333333,39.45,4.639787420312748,29,1.0,True
Banco Unión,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-10,2026-02,29,27,117,4.0,24.31,39.45,4.369720848729426,29,1.0,True
Coopcentral,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-02,29,27,104,3.0,12.676666666666668,29.0,3.532724888350058,30,0.9666666666666667,True
Banco Davivienda,6,Mayor a 100 SMLMV,2023-09,2026-01,28,26,347,11.0,15.522682926829267,30.14,3.5879791404129273,29,0.9655172413793104,True
Finandina,1,Menor o igual a 3 SMLMV,2023-09,2026-02,27,25,331,12.0,22.27,36.81333333333333,3.2078199982799087,30,0.9,True
Banco Popular,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2025-12,26,24,321,2.0,22.3975,34.788448275862066,4.074549996964884,28,0.9285714285714286,True
Banco Popular,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2025-12,25,23,591,4.0,19.43,29.783163265306122,3.137814597095709,28,0.8928571428571429,True
Banco Popular,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-02,25,23,299,3.0,21.063333333333333,29.098000000000003,1.933136423907994,30,0.8333333333333334,True
Banco Falabella,6,Mayor a 100 SMLMV,2023-09,2026-02,25,23,247,9.0,15.39,30.93,3.994200908487243,30,0.8333333333333334,True
Coopcentral,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-02,29,27,77,2.0,16.0,29.0,3.5469079906972247,30,0.9666666666666667,False
Banco Serfinanza,6,Mayor a 100 SMLMV,2023-09,2026-02,28,26,88,3.0,12.55,25.53,3.7758977415184343,30,0.9333333333333333,False
Coopcentral,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-02,27,25,66,2.0,16.0,29.0,3.436945784843265,30,0.9,False
Banco Unión,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-10,2026-02,27,25,51,2.0,22.195,39.45,4.531586862799096,29,0.9310344827586207,False
Coopcentral,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-02,25,23,86,2.0,14.695,25.5,3.1449902536154797,30,0.8333333333333334,False
