mes,banco,suma_tasa_credito,total_creditos,registros_fuente,fecha_minima,fecha_maxima,tasa_ponderada
2025-11,Banco Falabella,495612.79,21419,8201,2025-11-07,2025-11-28,23.138932256407863
2025-11,Banco GNB Sudameris,230.35,15,15,2025-11-07,2025-11-28,15.356666666666666
2025-11,Banco Mundo Mujer,167059.27,6701,4002,2025-11-07,2025-11-28,24.93049843306969
2025-11,Banco Popular,196.96,9,9,2025-11-07,2025-11-28,21.884444444444444
2025-11,Banco Santander,78.78,14,11,2025-11-28,2025-11-28,5.627142857142857
2025-11,Banco Serfinanza,7973.57,433,403,2025-11-07,2025-11-28,18.414711316397227
2025-11,Banco Unión,572.6999999999999,23,22,2025-11-07,2025-11-28,24.9
2025-11,Banco de Bogotá,982867.26,41748,14362,2025-11-07,2025-11-28,23.54285858005174
2025-11,Banco de Occidente,47653.93,2387,1134,2025-11-07,2025-11-28,19.96394218684541
2025-11,Bancolombia,891639.75,41934,15737,2025-11-07,2025-11-28,21.262931034482758
2025-11,Bancoomeva,19754.59,1161,986,2025-11-07,2025-11-28,17.015150732127477
2025-11,Coopcentral,187.39,10,10,2025-11-07,2025-11-28,18.738999999999997
2025-11,Finandina,10002.3,448,274,2025-11-07,2025-11-28,22.326562499999998
2025-11,Itaú,29625.03,1646,844,2025-11-07,2025-11-28,17.998195625759415
2025-11,Lulo Bank,189515.45,8906,4484,2025-11-07,2025-11-28,21.27952503929935
2025-11,MiBanco,73.94999999999999,3,3,2025-11-07,2025-11-21,24.649999999999995
2025-12,BBVA Colombia,379370.1,15676,6735,2025-12-05,2025-12-26,24.200695330441437
2025-12,Banco AV Villas,67857.27,3503,1874,2025-12-05,2025-12-26,19.37118755352555
2025-12,Banco Agrario,9507.09,430,424,2025-12-05,2025-12-26,22.109511627906976
2025-12,Banco Caja Social,136737.87,5877,4199,2025-12-05,2025-12-26,23.266610515569166
2025-12,Banco Contactar,674.46,27,25,2025-12-05,2025-12-05,24.98
2025-12,Banco Davibank,149949.99,6953,2477,2025-12-05,2025-12-26,21.566228965913993
2025-12,Banco Davivienda,621661.1,28686,11346,2025-12-05,2025-12-26,21.671236840270513
2025-12,Banco Falabella,462514.94,19862,7902,2025-12-05,2025-12-26,23.28642332091431
2025-12,Banco GNB Sudameris,179.96,12,12,2025-12-05,2025-12-26,14.996666666666668
2025-12,Banco Mundo Mujer,153535.88999999998,6152,3850,2025-12-05,2025-12-26,24.95706924577373
2025-12,Banco Popular,216.81,9,9,2025-12-05,2025-12-26,24.09
2025-12,Banco Santander,75.94,9,6,2025-12-05,2025-12-26,8.437777777777777
2025-12,Banco Serfinanza,8143.5,419,390,2025-12-05,2025-12-26,19.435560859188545
2025-12,Banco Unión,772.41,31,27,2025-12-05,2025-12-26,24.916451612903224
2025-12,Banco de Bogotá,973406.48,40965,14184,2025-12-05,2025-12-26,23.761906017331867
2025-12,Banco de Occidente,43634.71,2177,1057,2025-12-05,2025-12-26,20.043504823151125
