banco,rango_orden,rango_monto,primer_mes,ultimo_mes,meses_observados,observaciones_modelables,creditos_total,creditos_mediana,tasa_minima,tasa_maxima,tasa_std,meses_esperados,cobertura_meses,apta_modelo
Lulo Bank,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-03,31,29,38541,1224.0,21.079168241965974,31.033125000000002,3.2433414381949937,31,1.0,True
Lulo Bank,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-03,31,29,35165,1176.0,20.553472920156334,30.92502232142857,3.4639731101626987,31,1.0,True
Banco Davibank,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-03,31,29,32390,665.0,21.614031620553362,41.72940298507463,5.925586771942943,31,1.0,True
Banco Davibank,1,Menor o igual a 3 SMLMV,2023-09,2026-03,31,29,24872,96.0,22.656229508196724,42.03229271356784,5.664665105942869,31,1.0,True
Banco AV Villas,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-03,31,29,21594,560.0,17.22689969604863,25.036953125,2.309235091789729,31,1.0,True
Banco Mundo Mujer,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-03,31,29,21054,665.0,24.318270980788675,41.763231707317075,5.118086399519618,31,1.0,True
Itaú,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-03,31,29,20719,661.0,17.405850785340313,25.947978723404255,2.6815242790397287,31,1.0,True
Banco AV Villas,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-03,31,29,19530,569.0,19.5568156424581,30.363939393939397,3.517284670670054,31,1.0,True
Banco Davibank,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-03,31,29,19407,269.0,22.053208661417322,41.96775339602926,5.786963021118558,31,1.0,True
Banco Caja Social,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-03,31,29,19328,562.0,21.31183274021352,28.76911330049261,2.543005784741563,31,1.0,True
Banco Falabella,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-03,31,29,18616,505.0,18.883902097902098,32.51481707317073,3.98681344885727,31,1.0,True
Banco AV Villas,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-03,31,29,18453,495.0,18.370858208955227,27.514331210191084,2.8584449354211023,31,1.0,True
Banco de Occidente,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-03,31,29,17821,527.0,20.5027352297593,32.131603427172585,3.841751789056865,31,1.0,True
Bancolombia,6,Mayor a 100 SMLMV,2023-09,2026-03,31,29,15792,519.0,15.759749518304432,25.09615183246073,3.0763866974044944,31,1.0,True
Lulo Bank,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-03,31,29,14385,473.0,20.02615931721195,30.668367346938776,3.4045879818577354,31,1.0,True
Banco AV Villas,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-03,31,29,12513,330.0,21.021680376028204,32.973827160493826,3.9055701020705866,31,1.0,True
Bancoomeva,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-03,31,29,11959,371.0,16.582153589315524,29.395098039215686,4.184802413899291,31,1.0,True
Itaú,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-03,31,29,10422,327.0,18.482316513761468,26.91391304347826,2.7488986928169585,31,1.0,True
