nivel,baseline_referencia,r2_baseline,mae_baseline,rmse_baseline,modelo_recomendado,r2_recomendado,mae_recomendado,rmse_recomendado,criterio
banco,baseline_tasa_actual,0.8916647291719786,0.9000425915180507,1.279303723002797,baseline_tasa_actual,0.8916647291719786,0.9000425915180507,1.279303723002797,modelo aceptado: R2 >= baseline y MAE/RMSE dentro de tolerancia
banco_rango,baseline_media_movil_6,0.8115962389659913,1.0935578222037847,1.518770193007312,baseline_media_movil_6,0.8115962389659913,1.0935578222037847,1.518770193007312,modelo aceptado: R2 >= baseline y MAE/RMSE dentro de tolerancia
rango,baseline_tasa_actual,0.7844748232118564,0.5356038151849646,0.7000760029411295,baseline_tasa_actual,0.7844748232118564,0.5356038151849646,0.7000760029411295,modelo aceptado: R2 >= baseline y MAE/RMSE dentro de tolerancia
total,baseline_tasa_actual,-0.23999363985554645,0.5411633926226292,0.6162971886507475,baseline_tasa_actual,-0.23999363985554645,0.5411633926226292,0.6162971886507475,modelo aceptado: R2 >= baseline y MAE/RMSE dentro de tolerancia
