nivel,serie_id,primer_mes,ultimo_mes,meses_observados,observaciones_modelables,creditos_total,creditos_mediana,tasa_minima,tasa_maxima,tasa_std,meses_esperados,cobertura_meses,apta_modelo
banco_rango,Banco Davibank | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-03,31,28,44332,984.0,21.172187182095623,40.74649656526006,5.82694510383219,31,1.0,True
banco_rango,Banco de Occidente | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-03,31,28,43883,1272.0,18.772761752136752,27.67060569351908,2.7227010903103417,31,1.0,True
banco_rango,Lulo Bank | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-03,31,28,38541,1224.0,21.079168241965974,31.033125,3.243341438194994,31,1.0,True
banco_rango,Lulo Bank | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-03,31,28,35165,1176.0,20.55347292015633,30.92502232142857,3.4639731101626947,31,1.0,True
banco_rango,Banco Davibank | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-03,31,28,32390,665.0,21.61403162055336,41.72940298507463,5.925586771942943,31,1.0,True
banco_rango,Banco Davibank | Menor o igual a 3 SMLMV,2023-09,2026-03,31,28,24872,96.0,22.656229508196724,42.03229271356784,5.664665105942869,31,1.0,True
banco_rango,Banco AV Villas | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-03,31,28,21594,560.0,17.22689969604863,25.036953125,2.309235091789728,31,1.0,True
banco_rango,Banco Mundo Mujer | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-03,31,28,21054,665.0,24.318270980788675,41.76323170731708,5.118086399519618,31,1.0,True
banco_rango,Itaú | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-03,31,28,20719,661.0,17.405850785340313,25.94797872340425,2.6815242790397287,31,1.0,True
banco_rango,Banco AV Villas | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-03,31,28,19530,569.0,19.5568156424581,30.3639393939394,3.5172846706700542,31,1.0,True
banco_rango,Banco Davibank | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-03,31,28,19407,269.0,22.05320866141732,41.96775339602926,5.786963021118558,31,1.0,True
banco_rango,Banco Caja Social | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-03,31,28,19328,562.0,21.31183274021352,28.76911330049261,2.5430057847415597,31,1.0,True
banco_rango,Banco Falabella | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-03,31,28,18616,505.0,18.883902097902094,32.51481707317073,3.98681344885727,31,1.0,True
banco_rango,Banco AV Villas | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-03,31,28,18453,495.0,18.370858208955227,27.514331210191084,2.858444935421102,31,1.0,True
banco_rango,Banco de Occidente | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-03,31,28,17821,527.0,20.5027352297593,32.131603427172585,3.8417517890568655,31,1.0,True
