nivel,serie_id,primer_mes,ultimo_mes,meses_observados,observaciones_modelables,creditos_total,creditos_mediana,tasa_minima,tasa_maxima,tasa_std,meses_esperados,cobertura_meses,apta_modelo
banco_rango,Banco Davibank | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-02,30,27,43588,992.5,21.172187182095623,40.74649656526006,5.90422732509036,30,1.0,True
banco_rango,Banco de Occidente | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-02,30,27,42858,1276.5,18.772761752136752,27.67060569351908,2.7692463602485438,30,1.0,True
banco_rango,Lulo Bank | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-02,30,27,36859,1223.5,21.079168241965974,31.033125,3.2228286231339034,30,1.0,True
banco_rango,Lulo Bank | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-02,30,27,33877,1165.0,20.55347292015633,30.92502232142857,3.464136747292216,30,1.0,True
banco_rango,Banco Davibank | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-02,30,27,31730,671.5,21.61403162055336,41.72940298507463,6.001970746902967,30,1.0,True
banco_rango,Banco Davibank | Menor o igual a 3 SMLMV,2023-09,2026-02,30,27,24704,93.5,22.656229508196724,42.03229271356784,5.726346313628406,30,1.0,True
banco_rango,Banco AV Villas | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-02,30,27,20767,533.0,17.22689969604863,25.036953125,2.3448559765521924,30,1.0,True
banco_rango,Banco Mundo Mujer | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-02,30,27,20504,673.0,24.318270980788675,41.76323170731708,5.1469316590271275,30,1.0,True
banco_rango,Itaú | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-02,30,27,20091,668.5,17.405850785340313,25.94797872340425,2.7000959343155984,30,1.0,True
banco_rango,Banco Davibank | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-02,30,27,18990,266.5,22.05320866141732,41.96775339602926,5.85658382492852,30,1.0,True
banco_rango,Banco Caja Social | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-02,30,27,18766,564.0,21.373138686131387,28.76911330049261,2.5446133202320915,30,1.0,True
banco_rango,Banco AV Villas | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,2023-09,2026-02,30,27,18561,536.5,19.5568156424581,30.3639393939394,3.554836678847018,30,1.0,True
banco_rango,Banco Falabella | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,2023-09,2026-02,30,27,18065,496.5,18.883902097902094,32.51481707317073,3.9884664658560314,30,1.0,True
banco_rango,Banco AV Villas | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-02,30,27,17793,489.0,18.370858208955227,27.514331210191084,2.903531963475144,30,1.0,True
banco_rango,Banco de Occidente | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-02,30,27,17335,530.5,20.5027352297593,32.131603427172585,3.9049450604513427,30,1.0,True
banco_rango,Bancolombia | Mayor a 100 SMLMV,2023-09,2026-02,30,27,15527,521.0,15.759749518304432,25.09615183246073,3.11901454064112,30,1.0,True
banco_rango,Lulo Bank | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,2023-09,2026-02,30,27,13912,476.0,20.02615931721195,30.668367346938776,3.4093990921662827,30,1.0,True
banco_rango,Banco AV Villas | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,2023-09,2026-02,30,27,11722,319.5,21.021680376028204,32.973827160493826,3.9556755156782013,30,1.0,True
