number,value,params_alpha,user_attrs_mae_valid,user_attrs_rmse_valid,user_attrs_smape_valid,state,nivel,familia,params_l1_ratio,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_l2_regularization,params_learning_rate,params_max_iter,params_max_leaf_nodes,params_colsample_bytree,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample
0,0.7282065601956986,0.041858227295469716,1.3362378639106087,1.8648396344952756,7.404592581583702,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
1,0.6301946001714112,451.85609510240965,1.7775327073581142,2.17524725885656,9.526575300307309,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
2,0.6335563148577832,13.3032451015229,1.784439980120591,2.1653376478425574,9.629746295489445,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
3,0.7030236631759732,1.55099139875943,1.5370339941975188,1.9493190582522508,8.353970883828762,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
4,0.7278208110848112,0.0012363188277052211,1.3262291208637158,1.8661625236170454,7.3484088418905715,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
5,0.7278208049555035,0.0012358382772306934,1.3262290026411279,1.866162544629461,7.348408165385301,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
6,0.7278082111781157,0.00025502648504032837,1.325987362837094,1.8662057179583376,7.347024984034537,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
7,0.6172887770536952,115.67327199145953,1.8451415335710992,2.212878681487021,9.87043144781716,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
8,0.7018750671607967,1.6136341713591311,1.5422378756027522,1.9530850475118746,8.379871591483244,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
9,0.6425792555575073,9.047071957568372,1.7555984855308824,2.1385129444579905,9.483399055620128,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
10,0.7282062823637174,0.04181541491912686,1.3362275616016035,1.8648405876307854,7.4045357624741275,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
11,0.7282192083311012,0.04384978187324618,1.3367201813896883,1.8647962430531717,7.407245120850736,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
12,0.7281184739598727,0.029837668744492403,1.3332983727276155,1.8651418003545608,7.388322536501018,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
13,0.7283172528103361,0.06379392055618104,1.34156275871788,1.864459851604099,7.433541771102544,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
14,0.7278364900779739,0.21008469056904142,1.3733894143146985,1.8661087723163783,7.597321580760092,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
15,0.7279559220942794,0.012704388363708415,1.3290239194364517,1.865699280262684,7.36436117856667,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
16,0.7278812778649713,0.006139092984144988,1.3274267266374977,1.8659552206499672,7.355250918737603,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
17,0.7237515671121311,0.49615244270868225,1.4203749710042262,1.8800608999032205,7.817584419872251,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
18,0.7269757710404792,0.290074872452448,1.388179075140827,1.8690572341617036,7.669041011138536,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
19,0.7278065116998607,0.00012366224519985973,1.3259549464691098,1.8662115439443088,7.346839360303835,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
20,0.7278306425660653,0.002011210892130489,1.3264195407925417,1.866128819152672,7.34949820490897,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
21,0.7283405716585059,0.07100665143404737,1.3432732772041416,1.864379835501477,7.442740594525675,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
22,0.7282990162724188,0.1372578996602582,1.3582451123534443,1.8645224259165485,7.521244927800555,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
23,0.7282928665934099,0.13889578970070995,1.3585993244377774,1.8645435265938188,7.523059309853664,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
24,0.7067846187939784,1.3519877006953445,1.5193113103467484,1.9369364861483758,8.265519452053082,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
25,0.641588882150254,9.38556279184201,1.7587626394963478,2.1414736864942143,9.499771403632225,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
26,0.7278767986488504,0.005764181459666433,1.3273357460776267,1.8659705778849374,7.354731908160588,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
27,0.7283279325597339,0.12856052499818846,1.3563458990283537,1.8644232056266306,7.511489870498609,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
28,0.727980235338706,0.014988154768036352,1.3295824467069772,1.865615907346551,7.367531466764434,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
29,0.7192348677346657,0.7314483768834978,1.4511156942698171,1.8953682099004914,7.953121543203467,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
30,0.7283760521823961,0.09682958666982558,1.349209881309543,1.8642580813372296,7.474340535877179,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
31,0.7283691831578831,0.08534463254746077,1.3465833554246742,1.8642816535472713,7.460435035190281,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
32,0.6786671453524119,3.1818304826239054,1.6346699454517366,2.027680721150468,8.839809468268342,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
33,0.7283759276949667,0.09530894945521887,1.348862134185687,1.8642585085393806,7.472506858589237,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
34,0.7280127774903221,0.018175615628601788,1.3303755553058063,1.865504310728487,7.3720017878176725,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
35,0.7278613513067533,0.004486200582577573,1.3270248736339196,1.8660235389640891,7.352957534130702,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
36,0.7283688576733476,0.0850774233442325,1.3465227329747167,1.8642827704946654,7.460112243107737,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
37,0.6668956404148387,937.8118632537149,1.6075231437210502,2.0644870557254,8.699545879567486,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
38,0.6185241779414916,84.91274168473777,1.841467248356493,2.2093041821279495,9.860788376399823,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
39,0.725145184912952,0.41506532065955487,1.4086012709644604,1.8753126392108028,7.764278575293335,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
40,0.7154781677573536,0.9167518069315904,1.4738020727926993,1.908006299571558,8.052942624435778,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
41,0.7283721967527341,0.08821459339832627,1.3472328479021778,1.864271311927642,7.463889815532395,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
42,0.682587510249105,2.8633306053644683,1.6203416361358536,2.0152735814856078,8.769040140415001,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
43,0.7283381540441001,0.07016053354432558,1.3430742242363423,1.864388131443104,7.441672044264651,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
44,0.7280904636338372,0.02651650469198194,1.332469248323954,1.8652378750772236,7.383712378945423,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
45,0.7279540798022663,0.19591706709904716,1.3705280217791629,1.8657055975423875,7.583179974608075,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
46,0.7278120126271974,0.0005497138385725181,1.3260600367756592,1.8661926861346851,7.347441073860307,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
47,0.7279253080633938,0.009935402263961545,1.32835017056101,1.8658042540026736,7.360519182633151,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
48,0.7283393375652725,0.07057109511953079,1.3431708634710562,1.8643840702448473,7.442190883367427,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
49,0.7278349379174727,0.00235235530876822,1.3265032366727898,1.8661140935591092,7.349976840771516,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
50,0.7281349433107598,0.0318862559767176,1.3338060814934083,1.8650853085796137,7.391141004373833,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
51,0.7283483638884363,0.07396147448122399,1.3439651111107018,1.8643530965426574,7.4464505346349394,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
52,0.7269553442405989,0.29169623829874175,1.3884647577116183,1.869127151297179,7.670401831557429,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
53,0.7283753411689088,0.1006364474323527,1.3500749691562255,1.8642605213131278,7.4788957032111085,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
54,0.7228578098859736,0.5450941229002418,1.4273026996336473,1.8830997607793623,7.848572300521477,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
55,0.7283248814203231,0.129577512267475,1.356569505705051,1.864433675232878,7.512640774179946,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
56,0.7280583845020494,0.022932290831297487,1.3315706358900745,1.8653478996238353,7.37869929388065,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
57,0.7282061328685054,0.041792394508070096,1.3362220215180025,1.8648411004916106,7.404505207307619,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
58,0.7274018164713222,0.2539906042930451,1.3817746866680383,1.8675983632922555,7.638265510477543,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
59,0.7279415159065783,0.01138724067072669,1.3287040942226216,1.8657486789822102,7.362538246062325,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
60,0.7283727553670281,0.10500413360303046,1.3510615122178458,1.8642693949494724,7.484075568826885,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
61,0.7283665366639908,0.11075381795787541,1.3523713776573323,1.8642907353555316,7.49090852748607,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
62,0.7282232786239985,0.04450935154288685,1.3368804566601882,1.8647822790506472,7.408124402642706,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
63,0.7280403300045508,0.18443581533007564,1.3682004286234173,1.8654098198267552,7.571586390859912,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
64,0.7253677390358068,0.40133738539087926,1.4065003158814733,1.8745532508788563,7.754656249491671,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
65,0.7283745055308308,0.09137446022963387,1.3479591779570022,1.8642633889575593,7.467737011831012,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
66,0.7132323017041362,1.0271763288224307,1.4863231747195313,1.9155218979687598,8.107595617595905,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
67,0.6888191547229561,2.409824823890234,1.5970072626286647,1.9953929522623786,8.653142937133557,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
68,0.7281934816784006,0.03988327429910271,1.3357613899058045,1.8648845013692565,7.40196323140603,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
69,0.728034227261906,0.0203673814735203,1.3309266204366679,1.8654307494965734,7.375093800887653,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
70,0.7205771515509832,0.6639145115085032,1.4428386574776255,1.890832087336254,7.917041832203433,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
71,0.7283759385836114,0.09537888534345038,1.3488781551141533,1.8642584711729415,7.47259136990894,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
72,0.7279520910387893,0.19616942986722233,1.3705796992989803,1.8657124170535337,7.583436139253243,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
73,0.7283759827031613,0.0980495062226596,1.34948795152586,1.864258319768372,7.475805735314007,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
74,0.7283618667973502,0.11386579059941096,1.3530730715994272,1.864306760538123,7.494560575906154,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
75,0.728261977384838,0.05133110132155932,1.3385362417023232,1.8646495095254119,7.4171712059485335,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
76,0.7273409007724181,0.2594626975342761,1.3827721398952844,1.8678070215143574,7.643086353681689,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
77,0.726056720320793,0.3568143803187707,1.3994208330337723,1.8722003897279582,7.721962192330323,COMPLETE,banco_rango,ridge,,,,,,,,,,,,,,,
