banco,rango_orden,rango_monto,serie_banco_rango,nivel_usado,serie_usada,modelo_usado,mes_base,mes_predicho,tasa_base,prediccion_tasa_t3,total_creditos_base
Finandina,1,Menor o igual a 3 SMLMV,Finandina | Menor o igual a 3 SMLMV,banco_rango,Finandina | Menor o igual a 3 SMLMV,xgboost,2026-02,2026-05,24.616,22.738073348999023,20.0
Itaú,6,Mayor a 100 SMLMV,Itaú | Mayor a 100 SMLMV,banco_rango,Itaú | Mayor a 100 SMLMV,xgboost,2026-02,2026-05,16.899780219780222,16.65436553955078,182.0
Itaú,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,Itaú | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,banco_rango,Itaú | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,xgboost,2026-02,2026-05,18.482316513761468,18.495391845703125,436.0
Itaú,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,Itaú | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,banco_rango,Itaú | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,xgboost,2026-02,2026-05,17.556456599286562,17.220849990844727,841.0
Itaú,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,Itaú | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,banco_rango,Itaú | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,xgboost,2026-02,2026-05,19.68646258503401,19.453458786010746,147.0
Itaú,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,Itaú | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco_rango,Itaú | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,xgboost,2026-02,2026-05,19.14122033898305,19.04919815063477,295.0
Itaú,1,Menor o igual a 3 SMLMV,Itaú | Menor o igual a 3 SMLMV,banco_rango,Itaú | Menor o igual a 3 SMLMV,xgboost,2026-02,2026-05,19.54138888888889,19.36750221252441,36.0
Lulo Bank,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,Lulo Bank | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,banco_rango,Lulo Bank | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,xgboost,2026-02,2026-05,20.115079681274903,19.63629531860352,502.0
Lulo Bank,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,Lulo Bank | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,banco_rango,Lulo Bank | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,xgboost,2026-02,2026-05,19.666153846153847,18.81573867797852,104.0
Lulo Bank,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,Lulo Bank | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,banco_rango,Lulo Bank | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,xgboost,2026-02,2026-05,21.079168241965974,20.41487693786621,1587.0
Lulo Bank,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,Lulo Bank | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco_rango,Lulo Bank | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,xgboost,2026-02,2026-05,20.65184090909091,20.18596649169922,1320.0
Lulo Bank,1,Menor o igual a 3 SMLMV,Lulo Bank | Menor o igual a 3 SMLMV,banco_rango,Lulo Bank | Menor o igual a 3 SMLMV,xgboost,2026-02,2026-05,21.7222563274098,21.25028610229492,3714.0
