banco,rango_orden,rango_monto,serie_banco_rango,nivel_usado,serie_usada,modelo_usado,mes_base,mes_predicho,tasa_base,prediccion_tasa_t3,total_creditos_base
Banco Caja Social,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,Banco Caja Social | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,banco_rango,Banco Caja Social | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,xgboost,2026-02,2026-05,23.82740520785747,22.355262756347656,2189.0
Banco Caja Social,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,Banco Caja Social | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco_rango,Banco Caja Social | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,xgboost,2026-02,2026-05,22.7986843730698,21.919160842895508,1619.0
Banco Caja Social,1,Menor o igual a 3 SMLMV,Banco Caja Social | Menor o igual a 3 SMLMV,banco_rango,Banco Caja Social | Menor o igual a 3 SMLMV,xgboost,2026-02,2026-05,24.048794694348327,22.49635505676269,1734.0
Banco Davibank,6,Mayor a 100 SMLMV,Banco Davibank | Mayor a 100 SMLMV,banco_rango,Banco Davibank | Mayor a 100 SMLMV,xgboost,2026-02,2026-05,21.78642335766424,20.635269165039062,4521.0
Banco Davibank,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,Banco Davibank | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,banco_rango,Banco Davibank | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,xgboost,2026-02,2026-05,22.838515625000003,21.83268928527832,896.0
Banco Davibank,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,Banco Davibank | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,banco_rango,Banco Davibank | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,xgboost,2026-02,2026-05,22.26360394953374,21.179969787597656,1823.0
Banco Davibank,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,Banco Davibank | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,banco_rango,Banco Davibank | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,xgboost,2026-02,2026-05,23.686840855106887,22.266510009765625,421.0
Banco Davibank,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,Banco Davibank | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco_rango,Banco Davibank | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,xgboost,2026-02,2026-05,23.32510268562401,21.98113822937012,633.0
Banco Davibank,1,Menor o igual a 3 SMLMV,Banco Davibank | Menor o igual a 3 SMLMV,banco_rango,Banco Davibank | Menor o igual a 3 SMLMV,xgboost,2026-02,2026-05,23.34921052631579,21.98113822937012,190.0
Banco Davivienda,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,Banco Davivienda | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,banco_rango,Banco Davivienda | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,xgboost,2026-02,2026-05,22.23782565626548,21.1660270690918,4038.0
Banco Davivienda,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,Banco Davivienda | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,banco_rango,Banco Davivienda | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,xgboost,2026-02,2026-05,21.78571355498721,20.806480407714844,1955.0
Banco Davivienda,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,Banco Davivienda | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,banco_rango,Banco Davivienda | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,xgboost,2026-02,2026-05,23.36929493173742,21.964523315429688,5347.0
Banco Davivienda,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,Banco Davivienda | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco_rango,Banco Davivienda | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,xgboost,2026-02,2026-05,23.19748660084626,21.5540828704834,7090.0
Banco Davivienda,1,Menor o igual a 3 SMLMV,Banco Davivienda | Menor o igual a 3 SMLMV,banco_rango,Banco Davivienda | Menor o igual a 3 SMLMV,xgboost,2026-02,2026-05,23.60986821015138,22.249895095825195,5615.0
Banco Falabella,6,Mayor a 100 SMLMV,Banco Falabella | Mayor a 100 SMLMV,banco_rango,Banco Falabella | Mayor a 100 SMLMV,xgboost,2026-02,2026-05,20.12833333333333,18.930879592895508,6.0
Banco Falabella,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,Banco Falabella | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,banco_rango,Banco Falabella | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,xgboost,2026-02,2026-05,21.18920735573874,20.1466064453125,1577.0
Banco Falabella,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,Banco Falabella | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,banco_rango,Banco Falabella | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,xgboost,2026-02,2026-05,18.900036429872497,18.141342163085938,549.0
Banco Falabella,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,Banco Falabella | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,banco_rango,Banco Falabella | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,xgboost,2026-02,2026-05,23.990926821892952,22.408809661865234,6614.0
Banco Falabella,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,Banco Falabella | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco_rango,Banco Falabella | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,xgboost,2026-02,2026-05,22.961184988179667,21.98113822937012,3384.0
Banco Falabella,1,Menor o igual a 3 SMLMV,Banco Falabella | Menor o igual a 3 SMLMV,banco_rango,Banco Falabella | Menor o igual a 3 SMLMV,xgboost,2026-02,2026-05,23.58344833197722,22.266510009765625,6145.0
Banco GNB Sudameris,6,Mayor a 100 SMLMV,Banco GNB Sudameris | Mayor a 100 SMLMV,banco,Banco GNB Sudameris,baseline_tasa_actual,2026-02,2026-05,15.346666666666666,17.729,3.0
Banco GNB Sudameris,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,Banco GNB Sudameris | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,banco,Banco GNB Sudameris,baseline_tasa_actual,2026-02,2026-05,17.12,17.729,1.0
Banco GNB Sudameris,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,Banco GNB Sudameris | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,banco,Banco GNB Sudameris,baseline_tasa_actual,2026-02,2026-05,19.305,17.729,4.0
Banco GNB Sudameris,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,Banco GNB Sudameris | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco,Banco GNB Sudameris,baseline_tasa_actual,2026-02,2026-05,18.455,17.729,2.0
Banco Mundo Mujer,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,Banco Mundo Mujer | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,banco_rango,Banco Mundo Mujer | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,xgboost,2026-02,2026-05,24.99833333333333,23.45611572265625,18.0
Banco Mundo Mujer,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,Banco Mundo Mujer | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,banco_rango,Banco Mundo Mujer | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,xgboost,2026-02,2026-05,25.12931781701445,23.525972366333008,1246.0
Banco Mundo Mujer,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,Banco Mundo Mujer | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco_rango,Banco Mundo Mujer | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,xgboost,2026-02,2026-05,25.07420718816068,23.525972366333008,473.0
Banco Mundo Mujer,1,Menor o igual a 3 SMLMV,Banco Mundo Mujer | Menor o igual a 3 SMLMV,banco_rango,Banco Mundo Mujer | Menor o igual a 3 SMLMV,xgboost,2026-02,2026-05,25.14386580846499,23.525972366333008,5127.0
Banco Popular,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,Banco Popular | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,banco_rango,Banco Popular | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,xgboost,2026-02,2026-05,25.1,21.949892044067383,1.0
Banco Popular,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,Banco Popular | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco_rango,Banco Popular | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,xgboost,2026-02,2026-05,24.65,22.66985893249512,2.0
Banco Popular,1,Menor o igual a 3 SMLMV,Banco Popular | Menor o igual a 3 SMLMV,banco,Banco Popular,baseline_tasa_actual,2026-02,2026-05,24.97,24.8425,1.0
Banco Santander,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,Banco Santander | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,rango,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,baseline_tasa_actual,2026-02,2026-05,5.0,20.332931313921645,1.0
Banco Serfinanza,6,Mayor a 100 SMLMV,Banco Serfinanza | Mayor a 100 SMLMV,banco,Banco Serfinanza,baseline_tasa_actual,2026-02,2026-05,15.212,19.02458923512748,5.0
Banco Serfinanza,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,Banco Serfinanza | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,banco_rango,Banco Serfinanza | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,xgboost,2026-02,2026-05,18.06,18.183752059936523,61.0
Banco Serfinanza,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,Banco Serfinanza | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,banco_rango,Banco Serfinanza | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,xgboost,2026-02,2026-05,14.415909090909093,16.574554443359375,22.0
Banco Serfinanza,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,Banco Serfinanza | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,banco_rango,Banco Serfinanza | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,xgboost,2026-02,2026-05,19.79614583333333,19.177675247192383,96.0
Banco Serfinanza,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,Banco Serfinanza | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco_rango,Banco Serfinanza | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,xgboost,2026-02,2026-05,18.939411764705884,18.466598510742188,68.0
Banco Serfinanza,1,Menor o igual a 3 SMLMV,Banco Serfinanza | Menor o igual a 3 SMLMV,banco_rango,Banco Serfinanza | Menor o igual a 3 SMLMV,xgboost,2026-02,2026-05,20.123762376237625,19.430368423461918,101.0
Banco Unión,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,Banco Unión | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,banco,Banco Unión,baseline_tasa_actual,2026-02,2026-05,25.19,25.19,2.0
Banco Unión,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,Banco Unión | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,banco,Banco Unión,baseline_tasa_actual,2026-02,2026-05,25.19,25.19,3.0
Banco Unión,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,Banco Unión | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,banco_rango,Banco Unión | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,xgboost,2026-02,2026-05,25.19,23.357009887695312,13.0
Banco Unión,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,Banco Unión | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco_rango,Banco Unión | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,xgboost,2026-02,2026-05,25.19,23.56624984741211,15.0
Banco Unión,1,Menor o igual a 3 SMLMV,Banco Unión | Menor o igual a 3 SMLMV,banco_rango,Banco Unión | Menor o igual a 3 SMLMV,xgboost,2026-02,2026-05,25.19,23.479196548461918,6.0
Banco de Bogotá,6,Mayor a 100 SMLMV,Banco de Bogotá | Mayor a 100 SMLMV,banco_rango,Banco de Bogotá | Mayor a 100 SMLMV,xgboost,2026-02,2026-05,14.955276381909547,15.320459365844728,199.0
Banco de Bogotá,4,Mayor a 12 SMLMV y menor o igual a 25 SMLMV,Banco de Bogotá | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,banco_rango,Banco de Bogotá | Mayor a 12 SMLMV y menor o igual a 25 SMLMV,xgboost,2026-02,2026-05,22.822473618870266,21.53919792175293,3222.0
Banco de Bogotá,5,Mayor a 25 SMLMV y menor o igual a 100 SMLMV,Banco de Bogotá | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,banco_rango,Banco de Bogotá | Mayor a 25 SMLMV y menor o igual a 100 SMLMV,xgboost,2026-02,2026-05,19.42338466923346,18.465723037719727,2857.0
Banco de Bogotá,2,Mayor a 3 SMLMV y menor o igual a 6 SMLMV,Banco de Bogotá | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,banco_rango,Banco de Bogotá | Mayor a 3 SMLMV y menor o igual a 6 SMLMV,xgboost,2026-02,2026-05,24.55679511456164,22.738073348999023,10562.0
Banco de Bogotá,3,Mayor a 6 SMLMV y menor o igual a 12 SMLMV,Banco de Bogotá | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,banco_rango,Banco de Bogotá | Mayor a 6 SMLMV y menor o igual a 12 SMLMV,xgboost,2026-02,2026-05,24.28933153770813,22.649320602416992,8168.0
Banco de Bogotá,1,Menor o igual a 3 SMLMV,Banco de Bogotá | Menor o igual a 3 SMLMV,banco_rango,Banco de Bogotá | Menor o igual a 3 SMLMV,xgboost,2026-02,2026-05,24.74609798728813,23.374561309814453,18880.0
Banco de Occidente,6,Mayor a 100 SMLMV,Banco de Occidente | Mayor a 100 SMLMV,banco_rango,Banco de Occidente | Mayor a 100 SMLMV,xgboost,2026-02,2026-05,19.13691176470588,17.986061096191406,136.0
